Facility BIC Code,Facility Name,Operator Name,Facility Street,Facility City,Facility State,Facility Zip Code,Facility Country,Latitude,Longitude,Code Provider,UNLOCODE
DEHAMAKNM,EPOLOG EXPORTVERPACKUNG UND LOGISTIK GMBH,EPOLOG EXPORTVERPACKUNG UND LOGISTIK GMBH,AntwerpenstraÃŸe 1A,Hamburg,,21129,Germany,53.5250057,9.8952561,BIC,DEHAM
DEHAMALNB,Baltic Logistics Service GmbH,Baltic Logistics Service GmbH,Am Saalehafen 49 a,Hamburg,,20457,Germany,53.5257656,10.0148519,BIC,DEHAM
DEHAMBJTV,PROGECO SCHLUISGROVE,PROGECO SCHLUISGROVE,Schluisgrove 29,Hamburg,,21107,Germany,53.4966243,9.9828654,BIC,DEHAM
DEHAMBRAA,Braun Container Handels-GmbH,Braun Container Handels-GmbH,Georg-Wilhelm-StraÃŸe 181,Hamburg,,21107,Germany,53.49733,9.98976,BIC,DEHAM
DEHAMBUSA,Hccr,Hccr,Altenwerder Damm 22,Hamburg,,21129,Germany,53.5287424,9.9355243,BIC,DEHAM
DEHAMCATK,CPS CONPAC PORT SERVICE GMBH,CPS CONPAC PORT SERVICE GMBH,IndiastraÃŸe 5,Hamburg,,20457,Germany,53.5291058,9.994414,BIC,DEHAM
DEHAMCDHA,Progeco Hamburg Deutschland Gmbh,Progeco Hamburg Deutschland Gmbh,Ellerholzdamm 36,Hamburg,,20457,Germany,53.53136,9.9722601,BIC,DEHAM
DEHAMCDUA,Cdr container Depot,Cdr container Depot,Am Radeland 5C,Hamburg,,21079,Germany,53.4715901,9.95645,BIC,DEHAM
DEHAMCMRA,CMR Hamburg,Cmr Container Maintenance Repair Hamburg,Witts Weide 9,Hamburg,,21107,Germany,53.5143908,9.9768148,BIC,DEHAM
DEHAMCTHA,CST Hamburg,"Container-, Speditions- und Transportges. mbH",IndustriestraÃŸe 55,Hamburg,,21107,Germany,53.5070062,9.9829546,BIC,DEHAM
DEHAMDCBA,Dcp Dettmer Container Packing,Dcp Dettmer Container Packing,Am Vulkanhafen 6,Hamburg,,20457,Germany,53.5276757,9.9459044,BIC,DEHAM
DEHAMEGBO,SCHWARZE & CONSORT. GMBH,SCHWARZE & CONSORT. GMBH,AfrikastraÃŸe 4,Hamburg,,20457,Germany,53.5297247,9.9904806,BIC,DEHAM
DEHAMEGHA,Eurogate Container Terminal Hamburg (CTH),Eurogate Container Terminal Hamburg GmbH,Kurt-Eckelmann-StraÃŸe 1,Hamburg,,21129,Germany,53.5233763,9.9237202,BIC,DEHAM
DEHAMEROD,OCEANGATE DISTRIBUTION GMBH,OCEANGATE DISTRIBUTION GMBH,Dradenauer Deichweg 3,Hamburg,,21129,Germany,53.5084594,9.9055926,BIC,DEHAM
DEHAMFXHE,EUROKOMBI Terminal GmbH,EUROKOMBI Terminal GmbH,KÃ¶hlfleetdamm 5,Hamburg,,21129,Germany,53.5336114,9.891709,BIC,DEHAM
DEHAMHCCC,Hhla Unikai Terminal,UNIKAI Lagerei- und Speditionsges. mbH,Dessauer Str. 10,Hamburg,,20457,Germany,53.52882,10.011417,BIC,DEHAM
DEHAMHCCF,Container Terminal Tollerort (CTT),HHLA Container Terminal Tollerort GmbH,Am Vulkanhafen 30,Hamburg,,20457,Germany,53.527805,9.9441769,BIC,DEHAM
DEHAMHCSA,HCS Hamburger Container Service,Hcs (Hamburger Container Service) Gmbh,NeuhÃ¶fer BrÃ¼ckenstraÃŸe 43,Hamburg,,21107,Germany,53.5128579,9.9638211,BIC,DEHAM
DEHAMHHLA,Container Terminal Burchardkai (CTB),HHLA Container Terminal Burchardkai GmbH,Waltershofer Damm,Hamburg,,20457,Germany,53.531889,9.930473,BIC,DEHAM
DEHAMHLZX,CONRO CONTAINER GMBH,CONRO CONTAINER GMBH,RubbertstraÃŸe 48,Hamburg,,21109,Germany,53.50733,10.00453,BIC,DEHAM
DEHAMHNSA,Hanse-Repair,Hanse-Repair GmbH,HalskestraÃŸe 50,Hamburg,,22113,Germany,53.51988,10.08456,BIC,DEHAM
DEHAMHPSA,Hagendorf Planen Service,Hagendorf Planen - Service GmbH & Co. KG,Moorfleeter Str. 40,Hamburg,,22113,Germany,53.5394276,10.0451525,BIC,DEHAM
DEHAMIJWC,NEFAB PACKAGING GERMANY GMBH,NEFAB PACKAGING GERMANY GMBH,Neue WollkÃ¤mmereistraÃŸe 4,Hamburg,,21107,Germany,53.5083748,9.971748,BIC,DEHAM
DEHAMJABG,Universal Container Systems,Universal Container Systems Gmbh,PeutestraÃŸe 55,Hamburg,,20539,Germany,53.52045,10.04938,BIC,DEHAM
DEHAMJHUP,SWT STEINWEG SUED-WEST-TERMINAL,SWT STEINWEG SUED-WEST-TERMINAL,Am Kamerunkai 5,Hamburg,,20457,Germany,53.5330793,9.9872192,BIC,DEHAM
DEHAMKJKS,GLOBAL PACKING CENTER GMBH,GLOBAL PACKING CENTER GMBH,BUCHHEISTERSTRAE SCHUPPEN 74-77,Hamburg,,20457,Germany,53.52933,9.96091,BIC,DEHAM
DEHAMMNXR,MEDREPAIR HAMBURG,MEDREPAIR HAMBURG,Waltershof,Hamburg,,21129,Germany,53.5228715,9.9109859,BIC,DEHAM
DEHAMMPAQ,CONTAINERPRUEFANLAGE (CPA),CONTAINERPRUEFANLAGE (CPA),Waltershof,Hamburg,,21129,Germany,53.5184336,9.9253652,BIC,DEHAM
DEHAMNSHE,PACKING CENTER HAMBURG,PACKING CENTER HAMBURG,WollkÃ¤mmereistraÃŸe 1,Hamburg,,21107,Germany,53.5068575,9.9719463,BIC,DEHAM
DEHAMNVUD,TRANSBALTIC UMSCHLAG & SPEDITIONS GMBH,TRANSBALTIC UMSCHLAG & SPEDITIONS GMBH,RoÃŸweg 6-8,Hamburg,,20457,Germany,53.52306,9.9518501,BIC,DEHAM
DEHAMONXW,HAFEN LAGER SERVICE GMBH,HAFEN LAGER SERVICE GMBH,AfrikastraÃŸe 2,Hamburg,,20457,Germany,53.5287532,9.9912567,BIC,DEHAM
DEHAMPKUG,LOGISTIKZENTRUM HAMBURG GMBH,LOGISTIKZENTRUM HAMBURG GMBH,Am FÃ¤hrkanal 3,Hamburg,,20457,Germany,53.54009,9.96862,BIC,DEHAM
DEHAMPPWX,Ernst Logistik Depot,Ernst Logistik Depot,Altenwerder HauptstraÃŸe 2,Hamburg,,21129,Germany,53.50889,9.9249238,BIC,DEHAM
DEHAMRMAA,REMAIN GMBH,Eurogate GmbH & Co. KG,Dradenauer Deichweg 1,Hamburg,,21129,Germany,53.5117948,9.9046834,BIC,DEHAM
DEHAMRMTD,Remain Container-Depot Hamburg,Eurogate GmbH & Co. KG,Dradenaustrasse 14,Hamburg,,21129,Germany,53.5233578,9.9072044,BIC,DEHAM
DEHAMROSL,MEDREPAIR HAMBURG,MEDREPAIR HAMBURG,DradenaustraÃŸe 14,Hamburg,,21129,Germany,53.5239826,9.9028862,BIC,DEHAM
DEHAMSMCU,SWOP SEAWORTHY PACKING GMBH,SWOP SEAWORTHY PACKING GMBH,"5, AntwerpenstraÃŸe 3",Hamburg,,21129,Germany,53.5296504,9.8966652,BIC,DEHAM
DEHAMSRXA,Rexin Container Gruppe,Spedition Rexin Container Logistik Hamburg GmbH,NÃ¶ldekestraÃŸe 6,Hamburg,,21079,Germany,53.4518,9.99288,BIC,DEHAM
DEHAMUGIF,Cotac Depot Hamburg,Cotac Depot Hamburg,WendenstraÃŸe 414-424,Hamburg,,20537,Germany,53.5505315,10.0491059,BIC,DEHAM
DEHAMUVHP,MT Container GmbH,MT CONTAINER GMBH,Reiherstiegdeich 55,Hamburg,,21107,Germany,53.5155637,9.97457,BIC,DEHAM
DEHAMUVQI,HLD HANSA LOGISTIK UND DISTRIBUTION GMBH,HLD HANSA LOGISTIK UND DISTRIBUTION GMBH,Stenzelring 23C,Hamburg,,21107,Germany,53.51749,10.00764,BIC,DEHAM
DEHAMVEDT,LOGOO LOGISTIK GMBH NIEDERLASSUNG HAMBURG,LOGOO LOGISTIK GMBH NIEDERLASSUNG HAMBURG,PeutestraÃŸe 34-36,Hamburg,,20539,Germany,53.5218839,10.0426773,BIC,DEHAM
DEHAMVFKY,SPEDITION KRAUSE,SPEDITION KRAUSE,"Am Travehaven, Breslauer Str. 1",Hamburg,,20457,Germany,53.5185095,9.9626007,BIC,DEHAM
DEHAMVOJM,Bimicon Container-Service GmbH,Bimicon Container-Service GmbH,Am Radeland 5C,Hamburg,,21079,Germany,53.47159,9.95645,BIC,DEHAM
DEHAMVWWG,UNITAINER Trading GmbH,UNITAINER TRADING GMBH,Schluisgrove 1,Hamburg,,21107,Germany,53.49913,9.98372,BIC,DEHAM
DEHAMWDYM,HCCR HAMBURGER CONTAINER-/CHASSIS- REPARATUR GMBH.,HCCR HAMBURGER CONTAINER-/CHASSIS- REPARATUR GMBH.,Altenwerder Damm 22,Hamburg,,21129,Germany,53.5302475,9.9356961,BIC,DEHAM
DEHAMWPAN,SCHWARZE & CO,SCHWARZE & CO,Andreas-Meyer-StraÃŸe 17-19,Hamburg,,22113,Germany,53.5201774,10.0758928,BIC,DEHAM
DEHAMWTJH,TCO TRANSCARGO GMBH,TCO TRANSCARGO GMBH,Auf der Hohen Schaar 3,Hamburg,,21107,Germany,53.49643,9.96829,BIC,DEHAM
DEHAMWUXF,KROHN & SCHRODER GMBH,KROHN & SCHRODER GMBH,VollhÃ¶fner Weiden 16,Hamburg,,21129,Germany,53.5072509,9.8960018,BIC,DEHAM
DEHAMXKPB,Rhenus Midgard Hamburg GmbH,Rhenus Midgard Hamburg GmbH,AntwerpenstraÃŸe 1A,Hamburg,,21129,Germany,53.5273247,9.8990186,BIC,DEHAM
DEHAMXNUK,"EUROBOSS, HAMBURG","EUROBOSS, HAMBURG",RoÃŸweg 20,Hamburg,,20457,Germany,53.5248953,9.9473698,BIC,DEHAM
DEHAMXOHH,LERO Internationale Spedition GmbH,LERO Internationale Spedition GmbH,Billwerder Billdeich 45,Hamburg,,22113,Germany,53.52269,10.11441,BIC,DEHAM
